qname;name;award_type;year_of_fellowship;gender;num_papers;num_papers_before_award;num_papers_during_award;num_papers_after_award;num_cites;num_cites_before_award;num_cites_during_award;num_cites_after_award;num_coauthors;num_of_self_cites
Bundy, K;Kevin A Bundy;Hubble;2008;m;12;6;2;3;1095;233;302;560;133;0
Menou, K;Kristen Menou;Einstein;1999;f;31;0;10;17;1139;0;109;1030;64;0
Kirby, E;Evan Kirby;Hubble;2009;m;27;7;5;8;877;14;168;695;96;0
Facher-Giguere, C;Claude-Andre Facher-Giguere;Einstein;2013;m;0;0;0;0;0;0;0;0;0;0
Werk, J;Jessica Werk;Hubble;2013;f;9;7;1;0;278;101;177;0;68;0
Dvorkin, C;Cora Dvorkin;Hubble;2014;f;11;9;0;0;253;157;96;0;17;0
Chiang, E;Eugene Chiang;Hubble;2000;m;27;5;7;9;2127;39;173;1915;49;0
Naoz, S;Smadar Naoz;Einstein;2012;f;20;10;7;0;500;149;279;72;34;0
Schmidt, F;Fabian Schmidt;Einstein;2012;m;38;26;7;0;673;338;299;36;76;0
Neilsen, J;Joey Neilsen;Einstein;2012;m;13;6;3;0;201;56;113;32;52;0
Portegies-Zwart, S;Simon Portegies Zwart;Hubble;1998;m;53;8;8;31;3168;33;171;2964;140;0
Wiktorowicz, S;Sloane Wiktorowicz;Sagan;2011;m;7;4;0;2;36;8;5;23;11;0
Dave, R;Romeel Dave;Hubble;2000;m;5;3;2;0;67;9;4;54;6;0
Keeton, C;Charles Keeton;Hubble;2001;m;26;8;5;9;1451;186;219;1046;34;0
Gruen, D;Daniel Gruen;Einstein;2015;m;8;5;1;0;47;35;12;0;129;0
Mukadam, A;Anjum Mukadam;Hubble;2004;m;16;3;2;7;290;2;68;220;265;0
Finkelstein, S;Steven Finkelstein;Hubble;2011;m;19;11;3;2;768;176;300;292;196;0
Mann, A;Andrew Mann;Hubble;2015;m;38;34;2;0;412;346;66;0;57;0
Muirhead, P;Philip Muirhead;Hubble;2013;m;6;3;2;0;179;44;135;0;91;0
Besla, G;Gurtina Besla;Hubble;2011;f;7;4;2;0;351;111;134;106;25;0
Hibbard, J;John Hibbard;Hubble;1994;m;12;0;3;7;1106;0;37;1069;44;0
Gal-Yam, A;Avishay Gal-Yam;Hubble;2003;m;22;3;4;12;1551;15;106;1430;206;0
Bai, X;Xuening Bai;Hubble;2012;m;35;15;14;1;545;114;333;98;70;0
Miller, J;Jon Miller;Einstein;2005;m;209;160;13;25;6462;3341;634;2487;489;0
Biller, B;Beth A Biller;Hubble;2007;f;16;4;1;7;433;23;56;354;170;0
Rix, H;Hans-Walter R. Rix;Hubble;1991;m;23;7;6;8;1973;5;60;1908;48;0
Robertson, P;Paul Robertson;Sagan;2015;m;24;21;0;0;181;135;46;0;59;0
Byun, Y;Yong-Ik Byun;Hubble;1992;m;10;1;3;4;344;0;11;333;12;0
Lee, J;Janice Lee;Hubble;2006;f;331;131;38;121;5255;1314;493;3448;888;0
Hopkins, P;Philip Hopkins;Einstein;2011;m;78;46;19;6;6572;2706;2080;1786;221;0
Blum, R;Robert Blum;Hubble;1995;m;27;6;4;12;1021;26;100;895;99;0
Wise, J;John Wise;Hubble;2009;nan;15;9;1;1;936;111;185;640;33;0
Ruszkowski, M;Mateusz Ruszkowski;Einstein;2003;m;19;7;2;8;705;24;131;550;33;0
Bauer, F;Franz Bauer;Einstein;2004;m;40;14;5;16;1044;138;166;740;121;0
Shcherbakov, R;Roman Shcherbakov;Hubble;2011;m;14;6;3;0;194;35;95;64;15;0
Parfrey, K;Kyle Parfrey;Einstein;2015;m;7;6;0;0;86;73;13;0;11;0
Maughan, B;Benjamin Maughan;Einstein;2004;m;11;1;2;4;557;2;42;513;40;0
Mesinger, A;Andrei Mesinger;Hubble;2008;m;21;9;3;5;883;141;114;628;36;0
Parmentier, V;Vivien Parmentier;Sagan;2014;f;7;3;2;0;63;11;52;0;8;0
Ferrarese, L;Laura Ferrarese;Hubble;1996;f;20;1;2;12;5450;6;111;5333;183;0
Gaudi, B;B. Scott Gaudi;Hubble;2000;m;27;6;6;10;1065;59;99;907;141;0
Richards, J;Joseph Richards;Hubble;2013;m;24;21;3;0;296;156;140;0;90;0
Hornschemeier, A;Ann Hornschemeier;Einstein;2002;f;9;2;3;1;454;86;135;233;73;0
Kasliwal, M;Mansi Kasliwal;Hubble;2011;f;13;6;2;0;220;45;91;84;158;0
Modjaz, M;Maryam Modjaz;Hubble;2010;f;12;7;4;1;696;243;216;237;91;0
Walker, M;Matthew Walker;Hubble;2010;m;169;157;2;6;4696;3633;413;650;140;0
Lundqvist, P;Peter Lundqvist;Hubble;1990;m;12;2;2;8;345;9;20;316;39;0
Dai, L;Liang Dai;Einstein;2015;m;31;24;1;0;213;174;39;0;122;0
Rajagopal, J;Jajadev Rajagopal;Sagan;2002;m;6;5;0;1;24;7;1;16;16;0
Weisz, D;Daniel Weisz;Hubble;2013;m;16;8;6;0;467;172;295;0;143;0
Wiseman, J;Jennifer Wiseman;Hubble;1998;f;10;7;0;1;145;25;24;96;9;0
